Chainage,Distance(m),UTM_X,UTM_Y,RL,Remarks,Bank
2500,28,793485,2488433,-2.911,Sounding, 
2500,29,793484,2488432,-3.034,Sounding, 
2500,30,793483,2488431,-3.161,Sounding, 
2500,33,793481,2488429,-3.61,Bathy, 
2500,35,793480,2488428,-4.47,Bathy, 
2500,37,793478,2488427,-5.23,Bathy, 
2500,40,793476,2488425,-7.09,Bathy, 
2500,42,793474,2488423,-8.24,Bathy, 
2500,47,793471,2488420,-9.28,Bathy, 
2500,49,793469,2488419,-10.32,Bathy, 
2500,52,793467,2488416,-11.36,Bathy, 
2500,56,793464,2488414,-12.4,Bathy, 
2500,59,793462,2488411,-12.98,Bathy, 
2500,63,793459,2488409,-13.42,Bathy, 
2500,67,793456,2488406,-13.7,Bathy, 
2500,71,793453,2488403,-13.65,Bathy, 
2500,78,793448,2488399,-14.13,Bathy, 
2500,82,793445,2488396,-14.59,Bathy, 
2500,86,793442,2488393,-15.03,Bathy, 
2500,90,793439,2488391,-15.35,Bathy, 
2500,95,793436,2488387,-15.23,Bathy, 
2500,100,793432,2488383,-15.12,Bathy, 
2500,107,793427,2488379,-14.83,Bathy, 
2500,113,793422,2488375,-14.41,Bathy, 
2500,119,793418,2488371,-13.89,Bathy, 
2500,123,793415,2488368,-13.65,Bathy, 
2500,129,793411,2488364,-13.27,Bathy, 
2500,134,793407,2488361,-12.89,Bathy, 
2500,139,793403,2488357,-12.51,Bathy, 
2500,145,793399,2488353,-12.03,Bathy, 
2500,152,793394,2488348,-11.67,Bathy, 
2500,156,793391,2488345,-11.22,Bathy, 
2500,163,793386,2488341,-10.77,Bathy, 
2500,167,793383,2488338,-10.36,Bathy, 
2500,173,793378,2488334,-9.95,Bathy, 
2500,179,793374,2488330,-9.62,Bathy, 
2500,186,793369,2488325,-9.46,Bathy, 
2500,193,793364,2488320,-9.13,Bathy, 
2500,199,793360,2488316,-8.94,Bathy, 
2500,203,793357,2488313,-8.72,Bathy, 
2500,211,793351,2488308,-8.49,Bathy, 
2500,219,793345,2488303,-8.3,Bathy, 
2500,223,793342,2488300,-8.02,Bathy, 
2500,230,793337,2488295,-7.75,Bathy, 
2500,237,793332,2488290,-7.51,Bathy, 
2500,243,793327,2488286,-7.3,Bathy, 
2500,249,793323,2488282,-6.87,Bathy, 
2500,255,793319,2488278,-6.9,Bathy, 
2500,261,793314,2488274,-6.72,Bathy, 
2500,267,793310,2488270,-6.58,Bathy, 
2500,272,793306,2488266,-6.23,Bathy, 
2500,279,793301,2488261,-6.2,Bathy, 
2500,286,793296,2488257,-6.03,Bathy, 
2500,293,793291,2488252,-5.96,Bathy, 
2500,299,793287,2488248,-5.81,Bathy, 
2500,304,793283,2488245,-5.48,Bathy, 
2500,311,793278,2488240,-5.46,Bathy, 
2500,318,793273,2488235,-5.25,Bathy, 
